ID,latitude,longitude,district,address_offers,agent_offers,subway_offers,closest_subway,dist_to_subway,subway_grade,subway_dist_to_center,rooms,floor,max_floor,footage,material,repair,price,category_age
MAL9464,55.646147,37.730688,UVAO,1.0,1.0,15.0,Khovrino,1303.0,Underground,13657.0,Two Room,,17.0,58.0,panel,,10500000.0,Middle-aged buildings
MAL8076,55.74359770000001,37.7991802,VAO,1.0,1.0,,Petrovsko-Razumovskaya,1245.0,Underground,10558.0,Two Room,5.0,15.0,,panel,Enough,13600000.0,Young buildings
MAL1167,55.65385799999999,37.396362,ZAO,1.0,1.0,14.0,Savyolovskaya,633.0,Underground,18158.0,Two Room,3.0,17.0,64.0,panel,Enough,11700000.0,Middle-aged buildings
MAL1957,55.794305,37.803074,VAO,2.0,69.0,15.0,Verkhniye Likhobory,232.0,Underground,12418.0,Two Room,1.0,12.0,38.6,panel,Enough,8500000.0,Old buildings
MAL11877,55.859655,37.587075,SVAO,2.0,1.0,,Orekhovo,1086.0,Suburban rail,12882.0,One Room,9.0,12.0,42.0,panel,Excellent,10500000.0,Old buildings
MAL5674,55.606548,,UAO,1.0,25.0,8.0,Sretensky Bulvar,,Underground,15733.0,One Room,1.0,17.0,36.0,monolith,Enough,7700000.0,Middle-aged buildings
MAL4348,,37.58376,SAO,1.0,99.0,5.0,Davydkovo,247.0,Underground,4978.0,One Room,2.0,,31.0,brick,Good,9300000.0,Old buildings
MAL7679,55.89396,37.606981,SVAO,1.0,1.0,9.0,Rumyantsevo,1149.0,Underground,14663.0,Two Room,4.0,9.0,,panel,Enough,8700000.0,Old buildings
MAL7501,55.743162,37.675406,,2.0,12.0,17.0,Bibirevo,610.0,Underground,4268.0,Two Room,8.0,16.0,52.9,panel,Good,16000000.0,Old buildings
MAL3177,55.8752188,37.5253258,SAO,1.0,,20.0,Mnyovniki,1666.0,Underground,13417.0,Two Room,10.0,12.0,38.0,block,Poor,8100000.0,Old buildings
MAL5398,55.5970292,37.6685165,UAO,2.0,2.0,19.0,Maryina Roshcha,2383.0,Suburban rail,16633.0,One Room,9.0,9.0,,monolith,Good,7200000.0,Old buildings
